timestamp,bid,ask,source
2026-02-10T00:04:03.099000+00:00,70071.09519499591,70176.28072693736,coingecko
2026-02-10T01:03:52.077000+00:00,69773.74918783864,69878.48836600402,coingecko
2026-02-10T02:04:08.786000+00:00,70341.4435429184,70447.0349017519,coingecko
2026-02-10T03:03:21.270000+00:00,70012.21199956686,70117.30914042184,coingecko
2026-02-10T04:02:59.597000+00:00,69405.89269503432,69510.07967431132,coingecko
2026-02-10T05:02:57.463000+00:00,69745.074881784,69849.7710162075,coingecko
2026-02-10T06:03:02.631000+00:00,69330.3018945352,69434.37540250798,coingecko
2026-02-10T07:03:29.853000+00:00,68795.41540447144,68898.68598051018,coingecko
2026-02-10T08:02:23.150000+00:00,68829.41242677312,68932.73403662066,coingecko
2026-02-10T09:03:06.243000+00:00,69013.19238155577,69116.78986824313,coingecko
2026-02-10T10:03:57.962000+00:00,69053.71482543812,69157.37314141325,coingecko
2026-02-10T11:02:24.171000+00:00,68825.99029433125,68929.30676712733,coingecko
2026-02-10T12:03:40.193000+00:00,68471.43572149868,68574.21996326227,coingecko
2026-02-10T13:02:59.479000+00:00,68491.82307956525,68594.63792531891,coingecko
2026-02-10T14:02:48.078000+00:00,68906.89101862631,69010.32893359047,coingecko
2026-02-10T15:02:24.965000+00:00,68349.62955993158,68452.23095531802,coingecko
2026-02-10T16:03:01.918000+00:00,69194.34995907234,69298.21938608121,coingecko
2026-02-10T17:03:21.020000+00:00,69487.74045421797,69592.05029728159,coingecko
2026-02-10T18:03:17.790000+00:00,69803.42043592528,69908.204154368,coingecko
2026-02-10T19:02:31.070000+00:00,68840.4719959466,68943.81020759925,coingecko
2026-02-10T20:03:11.756000+00:00,68962.3372520937,69065.8583988319,coingecko
2026-02-10T21:00:42.181000+00:00,68704.54428303143,68807.67845008126,coingecko
2026-02-10T22:03:18.773000+00:00,68584.60552168285,68687.55964555827,coingecko
2026-02-10T23:03:10.009000+00:00,68609.52720131056,68712.51873576335,coingecko
2026-02-11T00:04:30.101000+00:00,68735.52123763338,68838.70190499035,coingecko
2026-02-11T01:02:58.705000+00:00,69112.00925853722,69215.75508179246,coingecko
2026-02-11T02:03:15.302000+00:00,68895.26738740636,68998.68785383728,coingecko
2026-02-11T03:00:22.849000+00:00,68593.47688660861,68696.44432751922,coingecko
2026-02-11T04:01:58.507000+00:00,68124.31883155875,68226.5820071878,coingecko
2026-02-11T05:03:59.711000+00:00,67500.73422931196,67602.06132597843,coingecko
