timestamp,bid,ask,source
2026-02-13T21:03:27.968000+00:00,68682.2937344499,68785.3945006262,coingecko
2026-02-13T22:03:43.321000+00:00,68790.85344404628,68894.11717200832,coingecko
2026-02-13T23:02:30.239000+00:00,68879.15801437476,68982.5542986095,coingecko
2026-02-14T00:02:15.076000+00:00,68797.27932755978,68900.55270158165,coingecko
2026-02-14T01:02:38.064000+00:00,69000.32905244065,69103.90722965222,coingecko
2026-02-14T02:01:31.662000+00:00,68874.1197746702,68977.5084958731,coingecko
2026-02-14T03:01:23.799000+00:00,68798.92003487587,68902.19587180587,coingecko
2026-02-14T04:02:32.219000+00:00,68894.83160702846,68998.2514192982,coingecko
2026-02-14T05:03:29.194000+00:00,68707.58997228165,68810.72871129433,coingecko
2026-02-14T06:02:57.673000+00:00,68690.62881047992,68793.74208865425,coingecko
2026-02-14T07:00:42.384000+00:00,68845.66049185026,68949.0064920882,coingecko
2026-02-14T08:03:00.778000+00:00,69137.93697722479,69241.72172124866,coingecko
2026-02-14T09:00:45.397000+00:00,69673.95798839872,69778.54736741558,coingecko
2026-02-14T10:01:36.364000+00:00,69639.25262696798,69743.78990886985,coingecko
2026-02-14T11:03:23.061000+00:00,69583.04822832061,69687.5011403471,coingecko
2026-02-14T12:00:48.924000+00:00,70381.45892068258,70487.1103476338,coingecko
2026-02-14T13:03:48.660000+00:00,69580.80159544658,69685.25113499443,coingecko
2026-02-14T14:03:05.751000+00:00,69364.47345147602,69468.59825525607,coingecko
2026-02-14T15:03:09.174000+00:00,69650.4409329636,69754.99500992076,coingecko
2026-02-14T16:03:01.553000+00:00,69709.41640158833,69814.05900814562,coingecko
2026-02-14T17:02:56.652000+00:00,69656.83192353384,69761.39559417212,coingecko
2026-02-14T18:03:11.441000+00:00,69635.01781634914,69739.54874126735,coingecko
2026-02-14T19:02:40.114000+00:00,69681.24106735131,69785.8413791862,coingecko
2026-02-14T20:02:42.490000+00:00,69773.13206722739,69877.87031901706,coingecko
2026-02-14T21:02:48.961000+00:00,69938.32441758284,70043.31064387895,coingecko
2026-02-14T22:03:59.163000+00:00,69832.0932152074,69936.91997510011,coingecko
2026-02-14T23:02:56.125000+00:00,69872.47284436831,69977.36021916597,coingecko
2026-02-15T00:03:53.822000+00:00,69721.9046495021,69826.5660024911,coingecko
2026-02-15T01:03:26.838000+00:00,69677.19201408434,69781.78624778075,coingecko
2026-02-15T02:03:27.924000+00:00,69622.18366836011,69726.6953276071,coingecko
