trade_id,entry_time,exit_time,direction,net_pnl,exit_reason
ef9c1a2c-ffbf-4954-8d48-65315ecd81e3,2026-02-13T22:03:43.321000+00:00,2026-02-14T22:03:59.163000+00:00,buy_yes,80.00002354647424,time_exit
83fd680b-eaed-45fd-9052-d70b7a28b40c,2026-02-14T23:02:56.125000+00:00,2026-02-15T18:02:37.233000+00:00,buy_yes,79.99996889213078,stop_loss
e0ed5304-3557-49a9-b560-715cd1411661,2026-02-15T19:00:32.737000+00:00,2026-02-16T19:03:58.387000+00:00,buy_yes,79.99998638850278,time_exit
26482536-ba75-4064-b5ff-f119d04dd080,2026-02-16T20:03:20.491000+00:00,2026-02-17T21:02:12.834000+00:00,buy_yes,79.99999594852288,time_exit
4f036e35-2fc7-4f16-88f2-f2543732f68f,2026-02-17T22:03:10.689000+00:00,2026-02-18T19:00:25.557000+00:00,buy_yes,79.99996197980614,stop_loss
dc262057-009f-4dc1-a7a0-0da970958cf4,2026-02-18T20:02:01.312000+00:00,2026-02-19T21:03:22.401000+00:00,buy_yes,80.00002971640978,time_exit
3cb104b2-2c77-4965-93a5-dd3eaeb2762f,2026-02-19T22:02:07.434000+00:00,2026-02-20T23:01:49.104000+00:00,buy_yes,80.00003844599559,time_exit
dd8343cc-5c90-4a91-a578-15f879e971d4,2026-02-21T00:01:35.614000+00:00,2026-02-22T00:02:08.172000+00:00,buy_yes,79.99999918416212,time_exit
8dbef73d-ca36-47d6-9f57-e0ab06c1c742,2026-02-22T01:00:31.466000+00:00,2026-02-23T01:02:25.581000+00:00,buy_yes,79.99995301560236,stop_loss
7a6cc66f-2873-45ba-b0a0-7ba5af7c932f,2026-02-23T02:03:22.673000+00:00,2026-02-23T10:02:14.214000+00:00,buy_yes,80.00009711998844,profit_target
5280f4ab-ccf7-46b7-af16-bf5c6736a924,2026-02-23T11:03:04.905000+00:00,2026-02-23T18:02:56.115000+00:00,buy_yes,79.99991713124732,stop_loss
2faed687-59eb-49be-97db-4968565dddea,2026-02-23T19:03:21.655000+00:00,2026-02-24T04:02:33.196000+00:00,buy_yes,79.9999390155356,stop_loss
4a717393-aac6-4bf0-a3cc-0807879e4c86,2026-02-24T05:03:32.574000+00:00,2026-02-25T02:03:45.182000+00:00,buy_yes,80.00015997861516,profit_target
bef6bb3b-b143-49ad-8c32-1fbba79a3242,2026-02-25T03:03:46.366000+00:00,2026-02-25T06:02:09.130000+00:00,buy_yes,9.9999098598338,stop_loss
4dc2c262-3872-47e7-9b1c-4d171c563701,2026-02-25T07:02:11.206000+00:00,2026-02-25T15:03:01.279000+00:00,buy_yes,5.000192123582965,profit_target
1f1f811f-a7b1-466e-aa78-f38560cfa6c0,2026-02-25T16:02:57.383000+00:00,2026-02-25T23:03:02.721000+00:00,buy_yes,25.000159290086355,expiry
