timestamp,spot,strike,yes_bid,yes_ask,no_bid,no_ask,implied_prob,model_prob,edge_bps,hours_to_expiry,vol
2026-02-20 23:01:49.104000+00:00,68041.9989547035,69000.0,0.0,0.16,0.84,1.0,0.16,0.4232071978333926,2632.0719783339264,119.05302666666667,2.5
2026-02-21 00:01:35.614000+00:00,68001.16900641973,69000.0,0.0,0.16,0.84,1.0,0.16,0.42255767043480674,2625.5767043480673,118.05677388888888,2.5
2026-02-21 01:01:26.318000+00:00,67814.84736860167,69000.0,0.0,0.16,0.84,1.0,0.16,0.4190017252391301,2590.017252391301,117.0593561111111,2.5
2026-02-21 02:02:26.125000+00:00,67938.11806652314,69000.0,0.0,0.16,0.84,1.0,0.16,0.4216126998331254,2616.126998331254,116.04274305555556,2.5
2026-02-21 03:00:21.704000+00:00,67990.97108159284,69000.0,0.0,0.16,0.84,1.0,0.16,0.42282116681276116,2628.211668127611,115.07730444444444,2.5
2026-02-21 04:02:45.685000+00:00,67636.09802439428,69000.0,0.0,0.16,0.84,1.0,0.16,0.41581453233539056,2558.1453233539055,114.03730972222222,2.5
2026-02-21 05:02:06.973000+00:00,67795.1935276166,69000.0,0.0,0.16,0.84,1.0,0.16,0.4191667533222172,2591.6675332221716,113.04806305555556,2.5
2026-02-21 06:02:07.329000+00:00,67833.35816343532,69000.0,0.0,0.16,0.84,1.0,0.16,0.420082737836759,2600.8273783675895,112.04796416666666,2.5
2026-02-21 07:00:41.289000+00:00,67771.15490900952,69000.0,0.0,0.16,0.84,1.0,0.16,0.4189469816190466,2589.469816190466,111.07186416666667,2.5
2026-02-21 08:02:31.186000+00:00,67835.58161535914,69000.0,0.0,0.16,0.84,1.0,0.16,0.42041158873228945,2604.115887322894,110.04133722222223,2.5
2026-02-21 09:02:18.042000+00:00,68033.45506604825,69000.0,0.0,0.16,0.84,1.0,0.16,0.4246391778401759,2646.391778401759,109.04498833333332,2.5
2026-02-21 10:02:32.943000+00:00,68134.27481021718,69000.0,0.0,0.16,0.84,1.0,0.16,0.4268904067137768,2668.9040671377684,108.04084916666666,2.5
2026-02-21 11:02:10.600000+00:00,68185.96157291178,69000.0,0.0,0.16,0.84,1.0,0.16,0.42813539709243875,2681.3539709243873,107.04705555555556,2.5
2026-02-21 12:02:20.281000+00:00,68080.98290497396,69000.0,0.0,0.16,0.84,1.0,0.16,0.4261130931926185,2661.1309319261845,106.04436638888889,2.5
2026-02-21 13:00:46.188000+00:00,68177.9654336213,69000.0,0.0,0.16,0.84,1.0,0.16,0.42831250819980143,2683.1250819980146,105.07050333333332,2.5
2026-02-21 14:02:20.586000+00:00,68234.65912706646,69000.0,0.0,0.16,0.84,1.0,0.16,0.42968884515445255,2696.8884515445257,104.04428166666666,2.5
2026-02-21 15:01:55.506000+00:00,68447.8539525863,69000.0,0.0,0.16,0.84,1.0,0.16,0.4343906473311059,2743.9064733110586,103.05124833333333,2.5
2026-02-21 16:01:14.798000+00:00,68624.35686959434,69000.0,0.0,0.16,0.84,1.0,0.16,0.43834982148117124,2783.498214811713,102.0625561111111,2.5
2026-02-21 17:03:12.362000+00:00,68302.62450497187,69000.0,0.0,0.16,0.84,1.0,0.16,0.431688653731104,2716.88653731104,101.02989944444444,2.5
2026-02-21 18:02:24.648000+00:00,68404.98992152564,69000.0,0.0,0.16,0.84,1.0,0.16,0.4340784183026749,2740.784183026749,100.04315333333334,2.5
2026-02-21 19:03:43.634000+00:00,68560.684656393,69000.0,0.0,0.16,0.84,1.0,0.16,0.4376501906603067,2776.5019066030673,99.02121277777778,2.5
2026-02-21 20:03:54.370000+00:00,68519.98114654892,69000.0,0.0,0.16,0.84,1.0,0.16,0.43698293213516537,2769.8293213516536,98.01823055555556,2.5
2026-02-21 21:03:16.046000+00:00,68284.76941071317,69000.0,0.0,0.16,0.84,1.0,0.16,0.4320499533428332,2720.499533428332,97.02887611111112,2.5
2026-02-21 22:02:41.418000+00:00,68352.67780821405,69000.0,0.0,0.16,0.84,1.0,0.16,0.4337279900073421,2737.2799000734203,96.038495,2.5
2026-02-21 23:03:25.336000+00:00,67951.15591282771,69000.0,0.0,0.16,0.84,1.0,0.16,0.42503963479631585,2650.396347963159,95.02629555555555,2.5
2026-02-22 00:02:08.172000+00:00,67978.79019389286,69000.0,0.0,0.16,0.84,1.0,0.16,0.4257986334630898,2657.9863346308985,94.04773,2.5
2026-02-22 01:00:31.466000+00:00,67894.39819865709,69000.0,0.0,0.16,0.84,1.0,0.16,0.4240553253528605,2640.5532535286047,93.07459277777777,2.5
2026-02-22 02:02:07.786000+00:00,68113.19039347471,69000.0,0.0,0.16,0.84,1.0,0.16,0.42912158475260953,2691.215847526095,92.04783722222221,2.5
2026-02-22 03:02:26.272000+00:00,67883.45039283701,69000.0,0.0,0.16,0.84,1.0,0.16,0.42408894294361305,2640.8894294361307,91.04270222222222,2.5
2026-02-22 04:02:04.682000+00:00,68008.42174669018,69000.0,0.0,0.16,0.84,1.0,0.16,0.4270686239958457,2670.6862399584575,90.04869944444445,2.5
2026-02-22 05:02:50.149000+00:00,67960.92293554958,69000.0,0.0,0.16,0.84,1.0,0.16,0.42613475805791196,2661.34758057912,89.03606972222222,2.5
